1503635160062774,baseline3,-128,-65,-21,-6,-2,-6,12,-36
1503635160062774,baseline3,33,3,-14,-7,9,9,29,17
1503635160062774,baseline3,92,90,32,11,9,37,38,44
1503635160078785,baseline3,-100,-25,-18,5,-7,-23,-12,-19
1503635160078785,baseline3,46,36,0,-4,12,3,-10,7
1503635160079786,baseline3,18,23,13,2,-15,-31,-21,-1
1503635160079786,baseline3,-32,-21,-14,-20,-7,0,-6,-12
1503635160099799,baseline3,43,-10,-2,2,-5,25,23,12
1503635160099799,baseline3,-10,-5,-2,-7,1,10,34,31
1503635160100799,baseline3,29,28,38,21,16,17,-46,-15
1503635160100799,baseline3,-42,-14,-26,7,5,2,34,-7
1503635160122813,baseline3,20,-15,8,-5,-12,-19,-21,3
1503635160122813,baseline3,46,17,-24,-31,-23,-13,13,12
1503635160122813,baseline3,-16,38,43,24,22,19,-22,-3
1503635160122813,baseline3,-23,-64,-54,-18,1,3,12,3
1503635160137825,baseline3,67,68,24,-1,-2,-3,9,5
1503635160137825,baseline3,-14,-1,20,21,11,2,-17,-4
1503635160137825,baseline3,49,8,-3,0,6,-13,4,18
1503635160137825,baseline3,63,34,-5,11,25,63,41,27
1503635160159838,baseline3,-13,9,-7,8,-1,-25,-24,-8
1503635160159838,baseline3,-6,24,18,-4,-16,-9,-29,-9
1503635160160839,baseline3,26,-7,2,-5,-3,21,42,18
1503635160160839,baseline3,-102,-83,-10,-5,-10,-15,12,-34
1503635160182853,baseline3,77,43,15,19,27,17,17,27
1503635160182853,baseline3,-57,-31,-10,6,-17,-5,-15,-4
1503635160182853,baseline3,30,15,-13,-15,-7,8,9,8
1503635160182853,baseline3,-13,-2,15,-12,-2,-39,-67,-18
1503635160197863,baseline3,57,14,-15,-10,2,16,19,-3
1503635160197863,baseline3,-63,-29,2,17,4,-3,-33,-12
1503635160197863,baseline3,-31,-25,-13,2,4,-7,33,12
1503635160197863,baseline3,47,16,-16,2,-8,-8,-3,-7
1503635160219878,baseline3,-57,1,12,1,-5,6,10,-17
1503635160219878,baseline3,68,35,10,4,-6,6,7,18
1503635160220877,baseline3,58,21,-17,17,-4,-2,12,10
1503635160220877,baseline3,-4,-5,13,-11,-5,-1,-1,12
1503635160242892,baseline3,-32,-27,-26,-26,4,-8,-20,-17
1503635160242892,baseline3,-11,43,20,-4,17,3,-26,-15
1503635160242892,baseline3,30,22,3,-7,-18,-8,-25,-2
1503635160242892,baseline3,26,39,37,39,22,-9,-12,6
1503635160257903,baseline3,51,17,25,-19,-28,-14,9,4
1503635160257903,baseline3,-80,-88,-42,5,3,-16,-52,-32
1503635160257903,baseline3,25,5,11,-8,-14,26,96,45
1503635160257903,baseline3,8,23,-19,-2,-11,-7,-29,-13
1503635160280917,baseline3,12,-22,0,1,-12,4,-1,-6
1503635160280917,baseline3,38,5,0,-11,1,-7,-18,9
1503635160280917,baseline3,-10,-47,-5,24,12,3,-8,7
1503635160280917,baseline3,10,-9,0,-18,-20,-1,-17,-9
1503635160302931,baseline3,-104,-20,27,22,-2,-7,25,13
1503635160302931,baseline3,38,24,3,-22,6,25,50,6
1503635160302931,baseline3,3,-15,-35,3,-13,-40,-87,-25
1503635160302931,baseline3,65,33,20,-11,23,26,63,39
1503635160317941,baseline3,-9,-28,-17,-5,-19,-29,-104,-26
1503635160317941,baseline3,-19,-20,1,16,23,38,84,16
1503635160317941,baseline3,-60,-19,7,-16,-17,-17,-25,-34
1503635160317941,baseline3,-11,-17,-11,5,-31,-42,-22,-9
1503635160339956,baseline3,-4,5,16,7,29,36,33,28
1503635160339956,baseline3,-6,4,-11,8,0,12,48,7
1503635160340957,baseline3,52,33,19,-14,14,24,59,50
1503635160340957,baseline3,-33,-76,-43,-38,-42,-40,-109,-55
1503635160361971,baseline3,-34,41,21,50,29,24,9,-23
1503635160361971,baseline3,84,29,6,-5,-15,-31,-24,25
1503635160362972,baseline3,-100,-18,14,24,14,7,35,-3
1503635160362972,baseline3,-6,19,3,-24,4,-14,-15,8
1503635160376979,baseline3,21,-10,-23,-4,0,8,25,11
1503635160376979,baseline3,4,-50,-24,-7,-6,-29,-50,-11
1503635160377981,baseline3,66,95,47,0,8,7,-33,-10
1503635160377981,baseline3,-59,-48,-33,23,4,5,-4,-14
1503635160399995,baseline3,14,-2,1,-23,-9,11,29,-9
1503635160399995,baseline3,112,79,34,16,8,2,7,37
1503635160400995,baseline3,-24,-90,-54,-38,-43,-12,-3,-20
1503635160400995,baseline3,-12,7,60,52,43,23,38,21
1503635160422010,baseline3,-31,-35,-53,-23,-5,-8,-11,-1
1503635160422010,baseline3,-70,-66,-7,11,-8,12,10,-24
1503635160423010,baseline3,-80,-75,-14,-7,7,-15,-64,-51
1503635160423010,baseline3,-4,21,-4,-2,-15,13,4,-6
1503635160437019,baseline3,20,-26,-18,-1,6,-10,-3,13
1503635160437019,baseline3,-63,-42,-14,-14,-37,-32,-3,-8
1503635160438020,baseline3,3,37,-1,-4,15,44,52,2
1503635160438020,baseline3,84,42,1,-15,12,8,32,50
1503635160460035,baseline3,-83,-63,13,-5,-20,-30,-48,-38
1503635160460035,baseline3,53,32,-17,2,13,26,26,10
1503635160461036,baseline3,-21,-36,-20,10,9,-4,-45,-15
1503635160461036,baseline3,0,-11,7,-7,-20,-4,-22,-2
1503635160482049,baseline3,43,19,-4,19,43,33,54,29
1503635160482049,baseline3,23,52,40,10,-8,-5,-53,-16
1503635160483049,baseline3,-18,-32,-5,3,-18,-12,63,22
1503635160483049,baseline3,24,11,7,-5,19,-18,-31,-4
1503635160497059,baseline3,-23,-33,-16,1,-24,-8,-56,-26
1503635160497059,baseline3,-30,-2,11,-9,6,26,61,13
1503635160498060,baseline3,35,3,-23,0,15,1,-37,4
1503635160498060,baseline3,-3,14,31,21,20,23,9,6
1503635160520074,baseline3,14,29,8,10,-1,-4,16,9
1503635160520074,baseline3,72,21,-32,-18,-1,-3,-10,9
