13,14
12,16
7,7
10,15
6,12
11,13
15,13
12,6
64,58
14,18
37,39
16,12
42,25
34,25
8,13
61,25
12,12
41,24
66,35
64,46
26,16
19,23
32,18
71,25
61,52
9,11
11,12
10,12
79,26
19,18
30,12
73,25
13,13
9,8
50,32
9,10
8,7
11,10
19,15
25,22
14,30
9,8
10,7
10,9
31,12
13,7
11,9
0,0
3,6
8,6
8,8
9,9
70,25
9,14
28,10
10,12
9,4
6,8
13,8
36,10
65,20
11,12
8,8
60,8
59,6
17,9
0,5
8,8
10,6
6,6
10,8
32,6
13,7
9,4
9,7
8,3
7,5
6,6
43,6
13,9
11,7
13,9
12,6
9,8
5,6
10,9
0,0
83,88
0,0
0,0
31,36
23,21
38,45
23,20
26,16
23,21
51,55
35,36
27,27
27,18
24,26
14,14
41,59
77,69
69,62
67,59
74,80
51,46
81,78
83,82
61,56
63,61
77,77
64,69
73,54
83,67
57,61
86,77
67,63
0,0
83,72
71,58
63,54
83,79
54,48
74,67
71,65
68,65
89,86
89,87
60,60
72,64
75,74
58,51
28,26
27,24
81,85
59,51
38,49
46,49
57,50
82,82
29,23
29,24
64,55
34,22
34,32
71,67
27,23
61,67
77,87
68,76
84,86
90,82
77,76
41,39
79,84
73,72
61,63
66,64
54,53
62,67
0,0
58,51
76,83
51,52
55,46
63,68
57,57
67,65
71,75
66,58
52,36
68,68
56,41
45,42
8,10
12,9
8,11
2,8
4,7
2,5
10,11
12,16
5,12
2,6
44,45
27,19
48,44
14,15
44,38
74,27
14,20
76,17
32,6
11,35
51,47
11,11
51,30
46,14
23,7
38,12
26,30
18,11
46,20
17,12
8,12
3,5
6,8
29,3
24,12
28,16
44,10
16,12
37,6
46,10
67,31
59,13
66,25
23,15
74,12
67,25
49,42
25,31
10,20
22,41
44,30
45,14
65,26
69,24
38,13
18,11
86,31
47,13
25,16
42,4
10,9
11,6
9,4
0,0
0,0
0,0
19,20
17,13
16,15
13,10
22,18
19,20
9,13
23,16
26,33
15,15
13,7
32,54
38,41
41,21
49,60
51,54
42,76
67,80
50,76
51,71
73,81
77,82
47,48
72,61
60,66
82,67
85,75
62,61
40,73
57,71
84,69
57,48
23,18
24,18
16,19
19,18
25,24
15,15
19,22
16,14
11,14
51,72
34,81
78,72
67,91
69,93
90,75
88,87
87,66
60,59
46,45
26,30
29,77
28,85
39,85
64,80
78,88
69,84
52,86
30,68
48,57
9,8
6,4
10,14
10,30
8,24
6,24
3,12
6,23
2,10
19,38
5,12
45,47
17,25
9,17
9,14
72,75
59,66
84,79
85,86
19,20
30,53
17,28
51,55
65,67
30,42
42,58
83,79
33,67
84,79
24,53
28,49
27,39
31,27
13,19
76,65
13,18
11,9
10,19
12,9
9,12
8,10
16,28
5,11
11,12
11,11
20,21
54,55
50,63
61,57
76,76
68,66
74,67
26,31
19,31
30,26
15,22
26,28
42,46
53,51
12,14
21,28
64,68
38,44
10,22
21,24
71,64
19,25
6,9
6,14
19,22
10,11
15,17
14,13
19,13
8,7
30,65
72,46
47,32
29,28
77,68
28,26
35,30
48,49
70,47
78,72
23,37
91,78
84,69
91,86
19,27
45,59
48,38
28,51
37,41
61,79
11,17
25,65
18,23
19,22
31,57
28,32
13,15
50,68
61,35
67,49
64,96
34,31
28,32
27,40
91,76
45,47
51,48
63,47
28,38
76,41
50,76
29,82
83,83
58,80
29,67
15,40
81,48
61,50
47,56
100,69
7,7
8,26
19,40
14,27
11,15
5,22
6,16
11,17
16,31
6,11
3,25
17,24
6,6
15,20
21,25
31,41
28,34
7,15
10,20
8,23
27,43
10,32
31,42
28,34
14,15
10,14
25,32
15,15
7,17
16,42
34,54
31,34
9,11
10,14
11,26
8,34
13,18
12,23
8,13
7,15
7,28
5,18
4,7
6,17
2,13
17,26
27,29
50,23
9,14
48,34
10,18
28,26
16,9
34,32
49,41
52,45
57,41
4,3
1,2
2,6
2,6
3,7
2,2
1,1
5,5
3,5
11,11
4,4
2,5
13,13
3,6
5,10
12,10
19,19
27,22
7,5
18,5
18,26
6,3
46,39
12,12
8,12
47,37
7,7
47,32
45,32
44,36
49,46
50,49
43,25
60,48
50,39
35,63
74,52
55,52
53,49
10,6
5,14
7,11
2,8
7,7
3,9
5,7
5,7
12,9
6,13
3,7
4,6
5,6
13,7
10,17
10,9
19,9
13,18
46,20
9,17
46,16
49,33
38,29
57,38
51,39
67,49
40,19
28,38
30,17
44,23
51,18
27,22
47,24
57,33
38,47
50,30
59,25
56,5
47,24
32,20
42,21
47,12
46,46
38,20
21,11
23,18
17,20
19,18
13,17
16,16
17,17
16,14
11,11
16,17
16,18
21,19
14,14
9,9
19,18
12,9
18,14
12,16
21,19
15,18
43,13
19,19
17,19
17,16
14,15
13,14
14,14
18,15
17,16
16,16
16,15
21,18
15,16
36,18
16,16
14,17
19,19
15,16
17,27
24,27
17,18
14,16
17,17
20,18
15,14
20,18
22,19
16,15
18,18
31,19
13,20
19,18
16,14
15,17
19,18
29,17
26,18
17,14
18,32
20,23
15,16
21,23
14,17
19,21
21,18
11,11
17,16
8,7
7,4
3,6
3,7
5,8
4,10
16,22
8,10
20,23
16,47
7,8
31,28
9,10
74,28
61,17
11,14
14,19
72,81
49,27
50,24
21,49
51,57
47,61
55,51
34,30
49,26
32,32
79,30
39,40
40,25
39,31
15,12
20,20
13,9
33,24
10,12
11,11
30,29
13,13
10,10
49,32
15,14
14,16
50,30
40,21
29,31
60,25
37,66
19,19
25,27
51,23
65,46
21,60
38,30
58,76
77,66
8,15
12,6
12,10
12,12
21,30
11,22
45,16
54,35
30,30
22,33
28,22
9,13
62,54
29,32
13,20
67,34
22,27
23,27
9,6
5,7
24,22
14,15
16,16
9,13
15,18
19,23
10,15
22,30
63,42
9,15
16,12
23,23
40,27
9,33
16,11
24,29
9,18
14,8
7,8
9,6
14,11
14,5
10,8
10,6
49,46
14,19
17,25
48,39
59,35
16,23
26,19
5,8
7,10
17,15
1,3
5,9
46,7
14,3
20,3
38,16
7,2
1,3
8,17
27,16
17,14
16,8
9,8
2,3
5,3
2,2
2,2
10,8
9,9
13,7
8,6
17,13
4,12
8,4
11,10
7,3
12,4
8,26
3,15
9,6
7,16
8,9
4,18
4,1
8,6
8,11
4,11
14,12
3,6
7,7
3,9
7,8
6,8
8,7
38,40
5,5
7,8
43,52
5,6
8,9
3,3
36,38
24,22
8,12
54,56
35,36
60,60
18,18
56,59
34,34
23,24
57,59
40,43
10,10
10,10
10,12
12,14
28,29
33,32
23,27
19,18
24,26
45,46
